City,State,Year,SeasonWidth,20%,40%,60%,80%
Alameda,California,2011,150.1,0.039973351099267154,0.006662225183211193,0.019986675549633577,0.02664890073284477
Alameda,California,2012,150.1,0.039973351099267154,0.02664890073284477,0.05996002664890074,-0.019986675549633577
Alameda,California,2013,150.1,0.039973351099267154,0.05996002664890074,0.06662225183211193,0.0
Alameda,California,2014,150.1,-0.019986675549633577,0.05329780146568954,0.039973351099267154,0.05329780146568954
Alameda,California,2015,150.1,0.23984010659560295,0.13324450366422386,0.07328447701532312,0.04663557628247835
Alameda,California,2016,150.1,0.033311125916055964,0.04663557628247835,0.006662225183211193,-0.039973351099267154
Alameda,California,2017,150.1,0.0,0.013324450366422385,-0.02664890073284477,-0.033311125916055964
Alameda,California,2018,150.1,0.039973351099267154,0.033311125916055964,0.006662225183211193,0.019986675549633577
Alameda,California,2019,150.1,,,,
Alameda,California,2020,150.1,,,,
Anthem,Arizona,2011,191.9,0.0,0.00781657113079729,0.0,-0.005211047420531527
Anthem,Arizona,2012,191.9,0.0,0.01563314226159458,-0.08337675872850443,-0.005211047420531527
Anthem,Arizona,2013,191.9,0.026055237102657634,0.010422094841063054,-0.010422094841063054,-0.03126628452318916
Anthem,Arizona,2014,191.9,0.03126628452318916,0.03647733194372069,0.03647733194372069,0.01563314226159458
Anthem,Arizona,2015,191.9,0.03126628452318916,0.01563314226159458,0.026055237102657634,-0.010422094841063054
Anthem,Arizona,2016,191.9,-0.01563314226159458,-0.01563314226159458,-0.01563314226159458,-0.010422094841063054
Anthem,Arizona,2017,191.9,0.005211047420531527,-0.005211047420531527,-0.00781657113079729,-0.010422094841063054
Anthem,Arizona,2018,191.9,-0.005211047420531527,-0.010422094841063054,-0.06774361646690985,0.0
Anthem,Arizona,2019,191.9,,,,
Anthem,Arizona,2020,191.9,,,,
Apache Junction,Arizona,2011,201.7,0.007436787307882995,0.007436787307882995,0.002478929102627665,0.002478929102627665
Apache Junction,Arizona,2012,201.7,0.01983143282102132,0.02478929102627665,0.02974714923153198,-0.02478929102627665
Apache Junction,Arizona,2013,201.7,0.007436787307882995,-0.017352503718393655,-0.017352503718393655,-0.012394645513138325
Apache Junction,Arizona,2014,201.7,-0.01487357461576599,-0.00991571641051066,-0.01983143282102132,-0.012394645513138325
Apache Junction,Arizona,2015,201.7,0.0,0.00495785820525533,0.0,-0.00495785820525533
Apache Junction,Arizona,2016,201.7,-0.01487357461576599,-0.01487357461576599,0.006610477607007106,-0.00991571641051066
Apache Junction,Arizona,2017,201.7,-0.02478929102627665,-0.01487357461576599,-0.017352503718393655,-0.00991571641051066
Apache Junction,Arizona,2018,201.7,0.0,-0.00495785820525533,-0.052057511155180966,0.00495785820525533
Apache Junction,Arizona,2019,201.7,,,,
Apache Junction,Arizona,2020,201.7,,,,
Bronx,New York,2011,148.5,0.013468013468013467,0.0,0.006734006734006734,0.006734006734006734
Bronx,New York,2012,148.5,0.013468013468013467,0.020202020202020204,0.013468013468013467,0.0
Bronx,New York,2013,148.5,-0.006734006734006734,0.013468013468013467,0.006734006734006734,0.020202020202020204
Bronx,New York,2014,148.5,-0.020202020202020204,0.0,-0.006734006734006734,-0.03367003367003367
Bronx,New York,2015,148.5,0.0,0.020202020202020204,-0.020202020202020204,0.013468013468013467
Bronx,New York,2016,148.5,0.020202020202020204,0.03367003367003367,-0.006734006734006734,0.020202020202020204
Bronx,New York,2017,148.5,-0.006734006734006734,0.0,0.0,-0.006734006734006734
Bronx,New York,2018,148.5,0.020202020202020204,0.026936026936026935,0.0,-0.026936026936026935
Bronx,New York,2019,148.5,,,,
Bronx,New York,2020,148.5,,,,
Buckeye,Arizona,2011,193.1,0.0,0.0,-0.005178663904712584,0.0
Buckeye,Arizona,2012,193.1,0.0,-0.005178663904712584,-0.031071983428275506,-0.10357327809425168
Buckeye,Arizona,2013,193.1,-0.020714655618850338,-0.015535991714137753,-0.018125323666494046,-0.031071983428275506
Buckeye,Arizona,2014,193.1,0.0,0.005178663904712584,-0.0336613153806318,0.041429311237700675
Buckeye,Arizona,2015,193.1,0.03625064733298809,0.03625064733298809,0.002589331952356292,0.002589331952356292
